source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,lum_flame,radius_flame,spectraltype_esphs,classprob_dsc_combmod_star,best_class_name,best_class_score
1294776032353235968,9.183443,9.960373,8.325295,1.6350775,-13.278475,0.13892092,NOT_AVAILABLE,0,,,,,K,0.99932396,,
1298694726154793856,10.361775,11.402939,9.348535,2.0544043,-58.973995,0.537937,NOT_AVAILABLE,0,,,,,M,0.9976672,,
1304171737170027008,11.589737,12.46619,9.94384,2.5223503,,,NOT_AVAILABLE,0,,,,,K,0.99296397,,
1304594533751044992,15.087056,17.350672,13.722985,3.6276865,-21.847961,2.513889,NOT_AVAILABLE,0,,,,,M,0.9999973,,
1310513342280948480,10.869015,12.194414,9.6050825,2.5893316,-7.11742,0.61400545,NOT_AVAILABLE,0,,,,,M,1.0000273E-6,,
1310513342280949376,12.822794,,,,-13.268255,2.5785124,NOT_AVAILABLE,0,,,,,,,,
1312891585932617344,14.683136,16.835918,13.3396,3.4963188,-7.027321,4.4384646,NOT_AVAILABLE,0,2939.2656,5.1083,0.0015603362,0.15201718,M,0.9999949,,
1314438839310796800,7.4861526,8.301352,6.6018677,1.6994839,-32.050816,0.12516265,NOT_AVAILABLE,0,3880.6682,4.475,0.11536115,0.7515598,K,0.9992449,,
1315585148902734976,12.27024,13.599202,11.131097,2.4681053,-3.3430512,0.3049273,VARIABLE,0,,,,,M,0.99296397,SOLAR_LIKE,0.7626841
1319404886656966016,13.468168,15.356077,12.17623,3.1798468,17.441187,0.6645361,NOT_AVAILABLE,0,3040.5063,5.0736,0.003167465,0.20282696,M,0.99979013,,
1320545217653492864,11.375031,12.7297125,10.222231,2.5074816,7.989349,0.19821025,NOT_AVAILABLE,0,3145.6436,4.1735,0.019637898,0.47187448,M,0.99296397,,
1320795047312113152,11.784779,13.277887,10.585464,2.6924238,26.12711,0.2689622,NOT_AVAILABLE,0,3068.4355,4.2424,0.013702556,0.4142195,M,1.0000273E-6,,
1320853355787534848,18.493132,21.411936,16.901249,4.510687,,,NOT_AVAILABLE,0,,,,,,0.99999964,,
1322906861255829376,11.26897,12.50771,10.082348,2.4253626,-12.212692,0.25087678,NOT_AVAILABLE,0,3199.17,4.1004,0.02850796,0.5492405,M,0.9976672,,
1323427759184545536,5.2328,5.553617,4.7546616,0.79895544,17.878246,0.12020487,NOT_AVAILABLE,0,5708.916,4.207,1.8744619,1.3995043,F,0.99861324,,
1325251986414360320,11.373696,12.582573,10.284502,2.298071,-5.4634047,0.21488033,NOT_AVAILABLE,0,,,,,M,0.9982583,,
1326893351115617024,14.285157,17.027956,12.85121,4.1767464,,,NOT_AVAILABLE,0,,,,,M,0.9999989,,
1327542647092300288,11.597409,13.221433,10.351076,2.8703566,1.8431973,0.9363073,NOT_AVAILABLE,0,,,,,M,0.99296397,,
